CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
P3Y,2021A0011P3Y,35,Ontario,113.4003,
P4N,2021A0011P4N,35,Ontario,292.012,
P4P,2021A0011P4P,35,Ontario,80.4413,
P4R,2021A0011P4R,35,Ontario,928.2296,
P5A,2021A0011P5A,35,Ontario,696.0556,
P5E,2021A0011P5E,35,Ontario,81.003,
P5N,2021A0011P5N,35,Ontario,83.9821,
P6A,2021A0011P6A,35,Ontario,537.2735,
P6B,2021A0011P6B,35,Ontario,20.7203,
P6C,2021A0011P6C,35,Ontario,32.2818,
P7A,2021A0011P7A,35,Ontario,4089.2115,
P7B,2021A0011P7B,35,Ontario,13.7363,
P7C,2021A0011P7C,35,Ontario,40.6583,
P7E,2021A0011P7E,35,Ontario,12.9523,
P7G,2021A0011P7G,35,Ontario,4037.979,
P7J,2021A0011P7J,35,Ontario,173.3003,
P7K,2021A0011P7K,35,Ontario,108.4952,
P7L,2021A0011P7L,35,Ontario,873.7825,
P8N,2021A0011P8N,35,Ontario,563.9007,
P8T,2021A0011P8T,35,Ontario,207.6624,
P9A,2021A0011P9A,35,Ontario,378.0704,
P9N,2021A0011P9N,35,Ontario,272.5851,
